time,open,high,low,close,MA 9,MA 13,MA 21,MA 34,MA 50,MA 72,MA 89,MA 100,MA 200,MA 9,MA 13,MA 21,MA 34,MA 50,MA 72,MA 89,MA 100,MA 200,Gap Flag,Winning Gap-up Box,Losing Gap-up Box,Break Even Gap Box,Winning Gap-down Box,Losing Gap-down Box,Gap Flag,Winning Gap-up Box,Losing Gap-up Box,Break Even Gap Box,Winning Gap-down Box,Losing Gap-down Box,Volume,Volume MA,Relative Vol
1665408600,18.77,22.2,16.46,21.4,16.77873536071788,15.669909664810906,14.440462531651088,14.009881050892805,15.146238668229131,17.697804325662442,18.906086298793177,NaN,NaN,15.872222222222222,14.708461538461538,13.368095238095231,11.959411764705886,12.065199999999997,16.578611111111105,18.915041573033708,NaN,NaN,1,0,0,0,0,1,1,0,0,1,0,0,711796,224378.55,2.6976720766414752
1665495000,20.51,21.75,19.02,20.02,17.426988288574304,16.29135114126649,14.947693210591899,14.353316419413217,15.337366563592694,17.76142612495936,18.930839936597774,NaN,NaN,16.63,15.344615384615386,13.786190476190468,12.252647058823534,12.265799999999997,16.51555555555555,18.959648314606742,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,376469,239489.25,1.3589400271604115
1665581400,19.99,20,19,19.76,17.893590630859443,16.786872406799848,15.385175645992636,14.662269766875319,15.510803168942,17.81618157359061,18.94926571578449,NaN,NaN,17.353333333333335,15.953076923076924,14.20619047619047,12.54794117647059,12.457399999999998,16.447083333333328,18.99795168539326,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,160511,244042.55,0.5717717781901445
1665667800,19.1,20.73,18.8,20.69,18.452872504687555,17.3444620629713,15.86743240544785,15.006711494482444,15.713908927022706,17.894916324999087,18.98794869987817,NaN,NaN,18.225555555555555,16.586923076923078,14.672857142857136,12.882058823529414,12.682,16.32055555555555,19.02986179775281,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,343844,254139.95,1.199679807326152
1665754200,20.35,29.44,5.35,5.49,15.860298003750044,15.650967482546829,14.924029459498046,14.462899409083446,15.312971322041424,17.555055603766235,18.687994284325324,NaN,NaN,17.456666666666667,16.062307692307694,14.421428571428564,12.77735294117647,12.603599999999997,15.912499999999994,18.894805617977532,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,0,10150259,757790.9,10.143238429972397
1666013400,5.55,6.2,3.6,5.02,13.692238403000035,14.132257842182996,14.023663144998224,13.923305157135822,14.90932538784372,17.21162942284113,18.384261078006983,NaN,NaN,16.285555555555558,15.433076923076925,14.173809523809517,12.647058823529413,12.500999999999998,15.48916666666666,18.711547191011235,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,3736736,930705.4,2.9705569963581167
1666099800,5.04,5.19,4.35,4.59,11.871790722400029,12.769078150442569,13.16605740454384,13.389973433870917,14.504645960869457,16.86583135646192,18.077721942940162,NaN,NaN,14.991111111111113,14.76692307692308,13.850952380952373,12.504999999999999,12.181399999999998,15.047638888888883,18.494382022471914,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,642147,955197.25,0.49459698912861927
1666186200,4.59,5.3,4.36,5.17,10.531432577920022,11.683495557522201,12.439143095039855,12.92026066622115,14.13858141338438,16.545397620668442,17.79088367754149,NaN,NaN,13.576666666666668,14.176923076923078,13.535238095238087,12.37,11.980599999999997,14.61041666666666,18.230000000000004,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,1658197,1028506.65,1.1935953110830246
1666272600,5.1,5.5,4.82,5.12,9.449146062336018,10.74585333501903,11.77376645003623,12.474531485294227,13.784911554035972,16.232373028321362,17.509308484707237,NaN,NaN,11.91777777777778,13.61615384615385,13.193809523809515,12.241176470588234,11.830399999999997,14.243472222222216,18.04033707865169,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,486648,1047399.5,0.34396687815214444
1666359000,5.13,5.23,4.7,5,8.559316849868814,9.925017144302025,11.157969500032937,12.04741540042027,13.440405218583582,15.924636780970092,17.231323851713743,18.074787,NaN,10.095555555555556,12.803846153846157,12.872380952380944,12.109117647058824,11.545399999999999,13.871249999999995,17.74797752808989,18.074787,NaN,0,0,0,0,0,0,0,0,0,0,0,0,470745,1057865.8,0.32613444700732774
